Date : 2020-12-03 16:17:18
Directory : /Users/macbook/fsadalab
Total : 335 files,  140113 codes, 31400 comments, 25680 blanks, all 197193 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| database/seeders                                                                                       |         22 |      4,526 |        242 |        700 |      5,468 |
| public                                                                                                 |          8 |    106,583 |     27,321 |     21,913 |    155,817 |
| public/css                                                                                             |          1 |      8,868 |          6 |      2,032 |     10,906 |
| public/fonts                                                                                           |          3 |      9,546 |          0 |          3 |      9,549 |
| public/fonts/vendor                                                                                    |          3 |      9,546 |          0 |          3 |      9,549 |
| public/fonts/vendor/@fortawesome                                                                       |          3 |      9,546 |          0 |          3 |      9,549 |
| public/fonts/vendor/@fortawesome/fontawesome-free                                                      |          3 |      9,546 |          0 |          3 |      9,549 |
| public/img                                                                                             |          1 |          1 |          0 |          0 |          1 |
| public/js                                                                                              |          1 |     88,150 |     27,285 |     19,865 |    135,300 |
| resources                                                                                              |        180 |      6,232 |      1,088 |      1,739 |      9,059 |
| resources/css                                                                                          |          1 |          0 |          0 |          1 |          1 |
| resources/js                                                                                           |        172 |      6,047 |      1,022 |      1,696 |      8,765 |
| resources/js/assert                                                                                    |          3 |        119 |          1 |         28 |        148 |
| resources/js/components                                                                                |          6 |        829 |         18 |        283 |      1,130 |
| resources/js/components/Farm                                                                           |          1 |        112 |          8 |         36 |        156 |
| resources/js/components/GoogleMaps                                                                     |          2 |        474 |          3 |        159 |        636 |
| resources/js/directives                                                                                |          1 |          8 |          2 |          5 |         15 |
| resources/js/lang                                                                                      |          2 |        148 |          0 |          2 |        150 |
| resources/js/lang/translations                                                                         |          1 |        142 |          0 |          1 |        143 |
| resources/js/layouts                                                                                   |          5 |        273 |         82 |         72 |        427 |
| resources/js/libs                                                                                      |          1 |         28 |          8 |          6 |         42 |
| resources/js/mixins                                                                                    |          2 |         12 |          4 |          9 |         25 |
| resources/js/pages                                                                                     |         22 |      2,023 |        176 |        571 |      2,770 |
| resources/js/pages/Auth                                                                                |          3 |        183 |          3 |         38 |        224 |
| resources/js/pages/Auth/PasswordReset                                                                  |          1 |         84 |          3 |         20 |        107 |
| resources/js/pages/Auth/Register                                                                       |          1 |         97 |          0 |         17 |        114 |
| resources/js/pages/Back                                                                                |          6 |        329 |         27 |         54 |        410 |
| resources/js/pages/Back/Company                                                                        |          1 |         50 |          0 |          6 |         56 |
| resources/js/pages/Back/Home                                                                           |          1 |         52 |          0 |         15 |         67 |
| resources/js/pages/Back/Permissions                                                                    |          1 |         89 |          0 |         12 |        101 |
| resources/js/pages/Back/Role                                                                           |          1 |         65 |         27 |          8 |        100 |
| resources/js/pages/Back/Users                                                                          |          1 |         68 |          0 |         11 |         79 |
| resources/js/pages/Front                                                                               |         10 |      1,234 |        108 |        384 |      1,726 |
| resources/js/pages/Front/Account                                                                       |          1 |          0 |          0 |          1 |          1 |
| resources/js/pages/Front/Company                                                                       |          1 |        145 |         14 |         54 |        213 |
| resources/js/pages/Front/Crop                                                                          |          1 |        226 |         18 |         54 |        298 |
| resources/js/pages/Front/Farm                                                                          |          2 |        264 |         27 |         80 |        371 |
| resources/js/pages/Front/Home                                                                          |          1 |         59 |         16 |         19 |         94 |
| resources/js/pages/Front/Plant                                                                         |          1 |        220 |         19 |         70 |        309 |
| resources/js/pages/Front/Terrain                                                                       |          2 |        311 |         14 |        104 |        429 |
| resources/js/pages/Welcome                                                                             |          1 |        240 |         38 |         79 |        357 |
| resources/js/routes                                                                                    |          3 |        210 |         69 |         53 |        332 |
| resources/js/services                                                                                  |         14 |        328 |        328 |        146 |        802 |
| resources/js/stores                                                                                    |        107 |      1,094 |        226 |        320 |      1,640 |
| resources/js/stores/modules                                                                            |        106 |      1,086 |        226 |        318 |      1,630 |
| resources/js/stores/modules/address                                                                    |          5 |         51 |          6 |         16 |         73 |
| resources/js/stores/modules/analyseSoil                                                                |          5 |         51 |          6 |         16 |         73 |
| resources/js/stores/modules/analyseSoilGuideline                                                       |          5 |         51 |          6 |         16 |         73 |
| resources/js/stores/modules/analyseWater                                                               |          5 |         51 |          6 |         16 |         73 |
| resources/js/stores/modules/auth                                                                       |          5 |         80 |         29 |         18 |        127 |
| resources/js/stores/modules/company                                                                    |          5 |         31 |         10 |          9 |         50 |
| resources/js/stores/modules/crop                                                                       |          5 |         37 |         16 |         14 |         67 |
| resources/js/stores/modules/farm                                                                       |          5 |         51 |          6 |         16 |         73 |
| resources/js/stores/modules/plague                                                                     |          5 |         51 |          6 |         16 |         73 |
| resources/js/stores/modules/plagueSpot                                                                 |          5 |         51 |          6 |         16 |         73 |
| resources/js/stores/modules/plagueType                                                                 |          5 |         51 |          6 |         16 |         73 |
| resources/js/stores/modules/plant                                                                      |          5 |         66 |          9 |         15 |         90 |
| resources/js/stores/modules/plantStage                                                                 |          5 |         51 |          6 |         16 |         73 |
| resources/js/stores/modules/plantType                                                                  |          5 |         34 |         41 |         15 |         90 |
| resources/js/stores/modules/plantUptake                                                                |          5 |         51 |          6 |         16 |         73 |
| resources/js/stores/modules/product                                                                    |          5 |         51 |          6 |         16 |         73 |
| resources/js/stores/modules/productComposition                                                         |          5 |         51 |          6 |         16 |         73 |
| resources/js/stores/modules/productType                                                                |          5 |         51 |          6 |         16 |         73 |
| resources/js/stores/modules/soilType                                                                   |          5 |         51 |          6 |         16 |         73 |
| resources/js/stores/modules/terrain                                                                    |          5 |         49 |          2 |         11 |         62 |
| resources/js/stores/modules/user                                                                       |          5 |         57 |         29 |         11 |         97 |
| resources/js/wrapper                                                                                   |          4 |        932 |         72 |        165 |      1,169 |
| resources/lang                                                                                         |          4 |        133 |         60 |         24 |        217 |
| resources/lang/en                                                                                      |          4 |        133 |         60 |         24 |        217 |
| resources/sass                                                                                         |          2 |         17 |          6 |          6 |         29 |
| resources/views                                                                                        |          1 |         35 |          0 |         12 |         47 |
| routes                                                                                                 |          4 |         88 |         40 |         32 |        160 |
| tests                                                                                                  |          4 |         41 |         15 |         19 |         75 |
| tests/Feature                                                                                          |          1 |         12 |          5 |          5 |         22 |
| tests/Unit                                                                                             |          1 |         10 |          5 |          4 |         19 |
| vendor                                                                                                 |          2 |         17 |         27 |          1 |         45 |
| vendor/facade                                                                                          |          2 |         17 |         27 |          1 |         45 |
| vendor/facade/ignition                                                                                 |          2 |         17 |         27 |          1 |         45 |
| vendor/facade/ignition/resources                                                                       |          2 |         17 |         27 |          1 |         45 |
| vendor/facade/ignition/resources/compiled                                                              |          2 |         17 |         27 |          1 |         45 |
+--------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+--------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| filename                                                                                               | language   | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| /Users/macbook/fsadalab/.styleci.yml                                                                   | YAML       |         13 |          0 |          1 |         14 |
| /Users/macbook/fsadalab/README.md                                                                      | Markdown   |         41 |          0 |         21 |         62 |
| /Users/macbook/fsadalab/app/Console/Kernel.php                                                         | PHP        |         17 |         18 |          7 |         42 |
| /Users/macbook/fsadalab/app/Exceptions/Handler.php                                                     | PHP        |         18 |         24 |          7 |         49 |
| /Users/macbook/fsadalab/app/Http/Controllers/Api/AddressController.php                                 | PHP        |         62 |         52 |         15 |        129 |
| /Users/macbook/fsadalab/app/Http/Controllers/Api/AnalyseSoilController.php                             | PHP        |         62 |         52 |         15 |        129 |
| /Users/macbook/fsadalab/app/Http/Controllers/Api/AnalyseSoilGuidelineController.php                    | PHP        |         62 |         52 |         15 |        129 |
| /Users/macbook/fsadalab/app/Http/Controllers/Api/AnalyseWaterController.php                            | PHP        |         62 |         52 |         15 |        129 |
| /Users/macbook/fsadalab/app/Http/Controllers/Api/AuthController.php                                    | PHP        |         66 |         31 |         16 |        113 |
| /Users/macbook/fsadalab/app/Http/Controllers/Api/CompanyController.php                                 | PHP        |         70 |         52 |         17 |        139 |
| /Users/macbook/fsadalab/app/Http/Controllers/Api/CropController.php                                    | PHP        |         72 |         47 |         18 |        137 |
| /Users/macbook/fsadalab/app/Http/Controllers/Api/FarmController.php                                    | PHP        |         72 |         47 |         19 |        138 |
| /Users/macbook/fsadalab/app/Http/Controllers/Api/PermissionController.php                              | PHP        |         65 |         47 |         10 |        122 |
| /Users/macbook/fsadalab/app/Http/Controllers/Api/PlagueController.php                                  | PHP        |         62 |         52 |         15 |        129 |
| /Users/macbook/fsadalab/app/Http/Controllers/Api/PlagueSpotController.php                              | PHP        |         62 |         52 |         15 |        129 |
| /Users/macbook/fsadalab/app/Http/Controllers/Api/PlagueTypeController.php                              | PHP        |         62 |         52 |         15 |        129 |
| /Users/macbook/fsadalab/app/Http/Controllers/Api/PlantController.php                                   | PHP        |         72 |         47 |         18 |        137 |
| /Users/macbook/fsadalab/app/Http/Controllers/Api/PlantStageController.php                              | PHP        |         62 |         52 |         15 |        129 |
| /Users/macbook/fsadalab/app/Http/Controllers/Api/PlantTypeController.php                               | PHP        |         67 |         52 |         17 |        136 |
| /Users/macbook/fsadalab/app/Http/Controllers/Api/PlantUptakeController.php                             | PHP        |         62 |         52 |         15 |        129 |
| /Users/macbook/fsadalab/app/Http/Controllers/Api/ProductCompositionController.php                      | PHP        |         62 |         52 |         15 |        129 |
| /Users/macbook/fsadalab/app/Http/Controllers/Api/ProductController.php                                 | PHP        |         62 |         52 |         15 |        129 |
| /Users/macbook/fsadalab/app/Http/Controllers/Api/ProductTypeController.php                             | PHP        |         62 |         52 |         15 |        129 |
| /Users/macbook/fsadalab/app/Http/Controllers/Api/RoleController.php                                    | PHP        |         69 |         47 |          5 |        121 |
| /Users/macbook/fsadalab/app/Http/Controllers/Api/SoilTypeController.php                                | PHP        |         62 |         52 |         15 |        129 |
| /Users/macbook/fsadalab/app/Http/Controllers/Api/TerrainController.php                                 | PHP        |         67 |         52 |         17 |        136 |
| /Users/macbook/fsadalab/app/Http/Controllers/Api/UserController.php                                    | PHP        |         70 |         45 |         10 |        125 |
| /Users/macbook/fsadalab/app/Http/Controllers/Auth/ConfirmPasswordController.php                        | PHP        |         14 |         20 |          7 |         41 |
| /Users/macbook/fsadalab/app/Http/Controllers/Auth/ForgotPasswordController.php                         | PHP        |         24 |         17 |         16 |         57 |
| /Users/macbook/fsadalab/app/Http/Controllers/Auth/LoginController.php                                  | PHP        |         14 |         20 |          7 |         41 |
| /Users/macbook/fsadalab/app/Http/Controllers/Auth/RegisterController.php                               | PHP        |         33 |         32 |          9 |         74 |
| /Users/macbook/fsadalab/app/Http/Controllers/Auth/ResetPasswordController.php                          | PHP        |         42 |         17 |         19 |         78 |
| /Users/macbook/fsadalab/app/Http/Controllers/Auth/VerificationController.php                           | PHP        |         16 |         20 |          7 |         43 |
| /Users/macbook/fsadalab/app/Http/Controllers/Controller.php                                            | PHP        |         10 |          0 |          4 |         14 |
| /Users/macbook/fsadalab/app/Http/Kernel.php                                                            | PHP        |         42 |         21 |          8 |         71 |
| /Users/macbook/fsadalab/app/Http/Middleware/Authenticate.php                                           | PHP        |         12 |          6 |          4 |         22 |
| /Users/macbook/fsadalab/app/Http/Middleware/EncryptCookies.php                                         | PHP        |          8 |          6 |          4 |         18 |
| /Users/macbook/fsadalab/app/Http/Middleware/PreventRequestsDuringMaintenance.php                       | PHP        |          8 |          6 |          4 |         18 |
| /Users/macbook/fsadalab/app/Http/Middleware/RedirectIfAuthenticated.php                                | PHP        |         19 |          8 |          6 |         33 |
| /Users/macbook/fsadalab/app/Http/Middleware/TrimStrings.php                                            | PHP        |         10 |          5 |          4 |         19 |
| /Users/macbook/fsadalab/app/Http/Middleware/TrustHosts.php                                             | PHP        |         12 |          5 |          4 |         21 |
| /Users/macbook/fsadalab/app/Http/Middleware/TrustProxies.php                                           | PHP        |          9 |         10 |          5 |         24 |
| /Users/macbook/fsadalab/app/Http/Middleware/VerifyCsrfToken.php                                        | PHP        |          8 |          6 |          4 |         18 |
| /Users/macbook/fsadalab/app/Models/Address.php                                                         | PHP        |         26 |          0 |          8 |         34 |
| /Users/macbook/fsadalab/app/Models/AnalyseSoil.php                                                     | PHP        |         76 |          1 |         11 |         88 |
| /Users/macbook/fsadalab/app/Models/AnalyseSoilGuideline.php                                            | PHP        |         28 |          2 |          7 |         37 |
| /Users/macbook/fsadalab/app/Models/AnalyseWater.php                                                    | PHP        |         40 |          0 |          6 |         46 |
| /Users/macbook/fsadalab/app/Models/Company.php                                                         | PHP        |         20 |          8 |         12 |         40 |
| /Users/macbook/fsadalab/app/Models/Crop.php                                                            | PHP        |         47 |         13 |         17 |         77 |
| /Users/macbook/fsadalab/app/Models/Farm.php                                                            | PHP        |         15 |         10 |         17 |         42 |
| /Users/macbook/fsadalab/app/Models/Plague.php                                                          | PHP        |         49 |          0 |         15 |         64 |
| /Users/macbook/fsadalab/app/Models/PlagueSpot.php                                                      | PHP        |         16 |          0 |          8 |         24 |
| /Users/macbook/fsadalab/app/Models/PlagueType.php                                                      | PHP        |         14 |          0 |          4 |         18 |
| /Users/macbook/fsadalab/app/Models/Plant.php                                                           | PHP        |         34 |         26 |         12 |         72 |
| /Users/macbook/fsadalab/app/Models/PlantStage.php                                                      | PHP        |         24 |          2 |          7 |         33 |
| /Users/macbook/fsadalab/app/Models/PlantType.php                                                       | PHP        |         14 |          0 |          5 |         19 |
| /Users/macbook/fsadalab/app/Models/PlantUptake.php                                                     | PHP        |         35 |          1 |          7 |         43 |
| /Users/macbook/fsadalab/app/Models/Product.php                                                         | PHP        |         43 |          8 |          9 |         60 |
| /Users/macbook/fsadalab/app/Models/ProductComposition.php                                              | PHP        |         33 |          9 |          7 |         49 |
| /Users/macbook/fsadalab/app/Models/ProductType.php                                                     | PHP        |         14 |          0 |          5 |         19 |
| /Users/macbook/fsadalab/app/Models/SoilType.php                                                        | PHP        |         20 |          1 |          6 |         27 |
| /Users/macbook/fsadalab/app/Models/Terrain.php                                                         | PHP        |         15 |         19 |         28 |         62 |
| /Users/macbook/fsadalab/app/Models/User.php                                                            | PHP        |         42 |         27 |         19 |         88 |
| /Users/macbook/fsadalab/app/Providers/AppServiceProvider.php                                           | PHP        |         12 |         12 |          5 |         29 |
| /Users/macbook/fsadalab/app/Providers/AuthServiceProvider.php                                          | PHP        |         16 |         10 |          6 |         32 |
| /Users/macbook/fsadalab/app/Providers/BroadcastServiceProvider.php                                     | PHP        |         12 |          5 |          5 |         22 |
| /Users/macbook/fsadalab/app/Providers/EventServiceProvider.php                                         | PHP        |         17 |         11 |          5 |         33 |
| /Users/macbook/fsadalab/app/Providers/RouteServiceProvider.php                                         | PHP        |         30 |         25 |          9 |         64 |
| /Users/macbook/fsadalab/bootstrap/app.php                                                              | PHP        |         17 |         30 |          9 |         56 |
| /Users/macbook/fsadalab/composer.json                                                                  | JSON       |         65 |          0 |          1 |         66 |
| /Users/macbook/fsadalab/composer.lock                                                                  | JSON       |      8,379 |          0 |          1 |      8,380 |
| /Users/macbook/fsadalab/config/app.php                                                                 | PHP        |         84 |        120 |         32 |        236 |
| /Users/macbook/fsadalab/config/auth.php                                                                | PHP        |         33 |         70 |         15 |        118 |
| /Users/macbook/fsadalab/config/broadcasting.php                                                        | PHP        |         30 |         22 |         13 |         65 |
| /Users/macbook/fsadalab/config/cache.php                                                               | PHP        |         53 |         34 |         18 |        105 |
| /Users/macbook/fsadalab/config/cors.php                                                                | PHP        |          3 |         29 |          3 |         35 |
| /Users/macbook/fsadalab/config/database.php                                                            | PHP        |         81 |         45 |         22 |        148 |
| /Users/macbook/fsadalab/config/filesystems.php                                                         | PHP        |         29 |         42 |         15 |         86 |
| /Users/macbook/fsadalab/config/hashing.php                                                             | PHP        |         12 |         32 |          9 |         53 |
| /Users/macbook/fsadalab/config/logging.php                                                             | PHP        |         64 |         24 |         17 |        105 |
| /Users/macbook/fsadalab/config/mail.php                                                                | PHP        |         46 |         47 |         18 |        111 |
| /Users/macbook/fsadalab/config/permission.php                                                          | PHP        |         26 |         81 |         37 |        144 |
| /Users/macbook/fsadalab/config/queue.php                                                               | PHP        |         43 |         32 |         15 |         90 |
| /Users/macbook/fsadalab/config/services.php                                                            | PHP        |         16 |         11 |          7 |         34 |
| /Users/macbook/fsadalab/config/session.php                                                             | PHP        |         22 |        147 |         33 |        202 |
| /Users/macbook/fsadalab/config/view.php                                                                | PHP        |         10 |         20 |          7 |         37 |
| /Users/macbook/fsadalab/database/factories/UserFactory.php                                             | PHP        |         19 |         10 |          5 |         34 |
| /Users/macbook/fsadalab/database/migrations/2014_10_12_000000_create_users_table.php                   | PHP        |         27 |         10 |          6 |         43 |
| /Users/macbook/fsadalab/database/migrations/2014_10_12_100000_create_password_resets_table.php         | PHP        |         19 |         10 |          4 |         33 |
| /Users/macbook/fsadalab/database/migrations/2019_08_19_000000_create_failed_jobs_table.php             | PHP        |         23 |         10 |          4 |         37 |
| /Users/macbook/fsadalab/database/migrations/2020_11_28_232212_create_permission_tables.php             | PHP        |         79 |         10 |         22 |        111 |
| /Users/macbook/fsadalab/database/migrations/2020_11_29_172515_create_companies_table.php               | PHP        |         24 |         10 |          6 |         40 |
| /Users/macbook/fsadalab/database/migrations/2020_12_01_165653_create_farms_table.php                   | PHP        |         26 |         11 |          4 |         41 |
| /Users/macbook/fsadalab/database/migrations/2020_12_03_053024_create_terrains_table.php                | PHP        |         26 |         11 |          5 |         42 |
| /Users/macbook/fsadalab/database/migrations/2020_12_03_074901_create_plants_table.php                  | PHP        |         36 |         26 |          9 |         71 |
| /Users/macbook/fsadalab/database/migrations/2020_12_03_074943_create_crops_table.php                   | PHP        |         32 |         15 |         12 |         59 |
| /Users/macbook/fsadalab/database/migrations/2020_12_03_082725_create_plant_types_table.php             | PHP        |         22 |         10 |          6 |         38 |
| /Users/macbook/fsadalab/database/migrations/2020_12_03_143406_create_plagues_table.php                 | PHP        |         33 |         23 |          8 |         64 |
| /Users/macbook/fsadalab/database/migrations/2020_12_03_144010_create_plague_types_table.php            | PHP        |         22 |         10 |          6 |         38 |
| /Users/macbook/fsadalab/database/migrations/2020_12_03_144111_create_plague_spots_table.php            | PHP        |         24 |         10 |          6 |         40 |
| /Users/macbook/fsadalab/database/migrations/2020_12_03_144155_create_products_table.php                | PHP        |         40 |         11 |         25 |         76 |
| /Users/macbook/fsadalab/database/migrations/2020_12_03_144223_create_product_types_table.php           | PHP        |         22 |         10 |          8 |         40 |
| /Users/macbook/fsadalab/database/migrations/2020_12_03_144340_create_soil_types_table.php              | PHP        |         28 |         13 |          5 |         46 |
| /Users/macbook/fsadalab/database/migrations/2020_12_03_144444_create_plant_stages_table.php            | PHP        |         24 |         11 |         11 |         46 |
| /Users/macbook/fsadalab/database/migrations/2020_12_03_144916_create_product_compositions_table.php    | PHP        |         37 |         12 |         26 |         75 |
| /Users/macbook/fsadalab/database/migrations/2020_12_03_145111_create_analyse_waters_table.php          | PHP        |         46 |         10 |         11 |         67 |
| /Users/macbook/fsadalab/database/migrations/2020_12_03_145225_create_analyse_soils_table.php           | PHP        |         80 |         11 |         39 |        130 |
| /Users/macbook/fsadalab/database/migrations/2020_12_03_145311_create_plant_uptakes_table.php           | PHP        |         38 |         10 |         22 |         70 |
| /Users/macbook/fsadalab/database/migrations/2020_12_03_145446_create_analyse_soil_guidelines_table.php | PHP        |         32 |         12 |          7 |         51 |
| /Users/macbook/fsadalab/database/migrations/2020_12_03_145747_create_addresses_table.php               | PHP        |         26 |         10 |          6 |         42 |
| /Users/macbook/fsadalab/database/seeders/AddressSeeder.php                                             | PHP        |         33 |          5 |          6 |         44 |
| /Users/macbook/fsadalab/database/seeders/AnalyseSoilGuidelineSeeder.php                                | PHP        |         27 |          5 |          7 |         39 |
| /Users/macbook/fsadalab/database/seeders/AnalyseSoilSeeder.php                                         | PHP        |        299 |          5 |        140 |        444 |
| /Users/macbook/fsadalab/database/seeders/CompanySeeder.php                                             | PHP        |         28 |          5 |          7 |         40 |
| /Users/macbook/fsadalab/database/seeders/CreateAdminUserSeeder.php                                     | PHP        |         22 |          5 |          9 |         36 |
| /Users/macbook/fsadalab/database/seeders/CropSeeder.php                                                | PHP        |         10 |          6 |          5 |         21 |
| /Users/macbook/fsadalab/database/seeders/DatabaseSeeder.php                                            | PHP        |         16 |          6 |         10 |         32 |
| /Users/macbook/fsadalab/database/seeders/FarmSeeder.php                                                | PHP        |         15 |          6 |          6 |         27 |
| /Users/macbook/fsadalab/database/seeders/PermissionTableSeeder.php                                     | PHP        |        103 |          5 |         28 |        136 |
| /Users/macbook/fsadalab/database/seeders/PlagueSeeder.php                                              | PHP        |      1,789 |         79 |        235 |      2,103 |
| /Users/macbook/fsadalab/database/seeders/PlagueSpotSeeder.php                                          | PHP        |         29 |          5 |         10 |         44 |
| /Users/macbook/fsadalab/database/seeders/PlagueTypeSeeder.php                                          | PHP        |         53 |          5 |          9 |         67 |
| /Users/macbook/fsadalab/database/seeders/PlantSeeder.php                                               | PHP        |      1,118 |         35 |         88 |      1,241 |
| /Users/macbook/fsadalab/database/seeders/PlantStageSeeder.php                                          | PHP        |         85 |          5 |         15 |        105 |
| /Users/macbook/fsadalab/database/seeders/PlantTypeSeeder.php                                           | PHP        |         39 |          5 |         10 |         54 |
| /Users/macbook/fsadalab/database/seeders/PlantUptakeSeeder.php                                         | PHP        |        355 |          5 |         38 |        398 |
| /Users/macbook/fsadalab/database/seeders/ProductCompositionSeeder.php                                  | PHP        |         73 |          5 |          8 |         86 |
| /Users/macbook/fsadalab/database/seeders/ProductSeeder.php                                             | PHP        |        204 |          5 |         24 |        233 |
| /Users/macbook/fsadalab/database/seeders/ProductTypeSeeder.php                                         | PHP        |         37 |          5 |          9 |         51 |
| /Users/macbook/fsadalab/database/seeders/SoilTypeSeeder.php                                            | PHP        |        144 |          5 |          7 |        156 |
| /Users/macbook/fsadalab/database/seeders/TerrainSeeder.php                                             | PHP        |         16 |          5 |          7 |         28 |
| /Users/macbook/fsadalab/database/seeders/UserSeeder.php                                                | PHP        |         31 |         30 |         22 |         83 |
| /Users/macbook/fsadalab/package-lock.json                                                              | JSON       |     10,193 |          0 |          1 |     10,194 |
| /Users/macbook/fsadalab/package.json                                                                   | JSON       |         37 |          0 |          1 |         38 |
| /Users/macbook/fsadalab/phpunit.xml                                                                    | XML        |         29 |          2 |          1 |         32 |
| /Users/macbook/fsadalab/public/css/app.css                                                             | CSS        |      8,868 |          6 |      2,032 |     10,906 |
| /Users/macbook/fsadalab/public/fonts/vendor/@fortawesome/fontawesome-free/webfa-brands-400.svg         | XML        |      3,717 |          0 |          1 |      3,718 |
| /Users/macbook/fsadalab/public/fonts/vendor/@fortawesome/fontawesome-free/webfa-regular-400.svg        | XML        |        801 |          0 |          1 |        802 |
| /Users/macbook/fsadalab/public/fonts/vendor/@fortawesome/fontawesome-free/webfa-solid-900.svg          | XML        |      5,028 |          0 |          1 |      5,029 |
| /Users/macbook/fsadalab/public/img/bell-regular.svg                                                    | XML        |          1 |          0 |          0 |          1 |
| /Users/macbook/fsadalab/public/index.php                                                               | PHP        |         14 |         30 |         12 |         56 |
| /Users/macbook/fsadalab/public/js/app.js                                                               | JavaScript |     88,150 |     27,285 |     19,865 |    135,300 |
| /Users/macbook/fsadalab/public/mix-manifest.json                                                       | JSON       |          4 |          0 |          1 |          5 |
| /Users/macbook/fsadalab/resources/css/app.css                                                          | CSS        |          0 |          0 |          1 |          1 |
| /Users/macbook/fsadalab/resources/js/app.js                                                            | JavaScript |         35 |         13 |         25 |         73 |
| /Users/macbook/fsadalab/resources/js/assert/AssertionError.js                                          | JavaScript |          7 |          0 |          1 |          8 |
| /Users/macbook/fsadalab/resources/js/assert/index copy.js                                              | JavaScript |          4 |          0 |          2 |          6 |
| /Users/macbook/fsadalab/resources/js/assert/index.js                                                   | JavaScript |        108 |          1 |         25 |        134 |
| /Users/macbook/fsadalab/resources/js/bootstrap.js                                                      | JavaScript |          8 |         23 |         11 |         42 |
| /Users/macbook/fsadalab/resources/js/components/Farm/TerrainsOfFarm.vue                                | HTML       |        112 |          8 |         36 |        156 |
| /Users/macbook/fsadalab/resources/js/components/GoogleMaps/MapCreateTerrain.vue                        | HTML       |        277 |          0 |         83 |        360 |
| /Users/macbook/fsadalab/resources/js/components/GoogleMaps/MapLoaderTerrains.vue                       | HTML       |        197 |          3 |         76 |        276 |
| /Users/macbook/fsadalab/resources/js/components/Login.vue                                              | HTML       |        121 |          0 |         39 |        160 |
| /Users/macbook/fsadalab/resources/js/components/NoDataContainer.vue                                    | HTML       |         38 |          2 |         29 |         69 |
| /Users/macbook/fsadalab/resources/js/components/UiModal.vue                                            | HTML       |         84 |          5 |         20 |        109 |
| /Users/macbook/fsadalab/resources/js/directives/permission.js                                          | JavaScript |          8 |          2 |          5 |         15 |
| /Users/macbook/fsadalab/resources/js/lang/index.js                                                     | JavaScript |          6 |          0 |          1 |          7 |
| /Users/macbook/fsadalab/resources/js/lang/translations/vue-i18n-locales.generated.js                   | JavaScript |        142 |          0 |          1 |        143 |
| /Users/macbook/fsadalab/resources/js/layouts/Footer.vue                                                | HTML       |         28 |          1 |          5 |         34 |
| /Users/macbook/fsadalab/resources/js/layouts/Header.vue                                                | HTML       |         60 |         41 |         13 |        114 |
| /Users/macbook/fsadalab/resources/js/layouts/MainApp.vue                                               | HTML       |         44 |         13 |          8 |         65 |
| /Users/macbook/fsadalab/resources/js/layouts/TopNavBar.vue                                             | HTML       |         72 |         10 |         18 |        100 |
